,price,bedrooms
51233,815000.0,4
51270,922500.0,5
51663,495000.0,3
51712,546000.0,3
51865,715000.0,4
51868,720000.0,5
51919,785000.0,3
52002,975000.0,5
52076,1500000.0,4
52190,348000.0,2
52223,445000.0,3
52246,490000.0,3
52250,497000.0,3
52272,530000.0,3
52287,550000.0,3
52345,633000.0,4
52350,644000.0,4
52408,722500.0,3
52409,722500.0,3
52425,748000.0,4
52433,765000.0,4
52538,1005000.0,4
52544,1032500.0,5
52560,1115000.0,5
52577,1195000.0,3
52592,1300000.0,4
52593,1300000.0,3
52946,400000.0,3
53008,490000.0,3
53057,536500.0,3
53064,540000.0,3
53146,625000.0,4
53223,716000.0,3
53253,750000.0,4
53278,812000.0,3
53295,875000.0,3
53300,880000.0,5
53365,1335000.0,3
53389,1735000.0,4
53630,517000.0,3
53691,580000.0,3
53739,626000.0,3
53745,630000.0,5
53754,650000.0,4
53845,810000.0,4
54084,330000.0,2
54125,396000.0,2
54185,470000.0,3
54186,470000.0,3
54189,475000.0,3
54206,495000.0,3
54237,535000.0,3
54260,560500.0,3
54275,572000.0,3
54282,585000.0,3
54295,600000.0,4
54370,700000.0,3
54415,781000.0,3
54444,860000.0,4
54450,880000.0,4
54483,975000.0,3
54491,1015000.0,4
54496,1035000.0,4
54779,450000.0,3
54809,477500.0,3
54844,520000.0,3
54864,545000.0,3
54888,567000.0,3
54919,607500.0,4
54923,610000.0,4
54962,660000.0,4
55003,720000.0,4
55015,742000.0,5
55034,765000.0,4
55037,775000.0,4
55047,800000.0,4
55082,875000.0,4
55160,1275000.0,4
55168,1360000.0,3
55431,430000.0,2
55447,450000.0,3
55450,452000.0,3
55455,460000.0,3
55558,555000.0,3
55585,585000.0,3
55594,596000.0,3
55604,602000.0,4
55649,638000.0,3
55670,660000.0,4
55687,680000.0,4
55708,700000.0,3
55714,707500.0,3
55726,715000.0,4
55744,743500.0,4
55785,785000.0,4
55787,790000.0,3
55802,820000.0,5
55823,842500.0,4
55831,855000.0,4
55850,900000.0,3
55855,904000.0,3
55859,910000.0,4
56193,750000.0,3
56220,887500.0,4
56458,640000.0,4
56487,780000.0,3
56560,1410000.0,4
57237,591200.0,4
57889,950000.0,4
57944,550000.0,3
58165,468000.0,3
58176,480000.0,3
58346,980000.0,5
58525,460000.0,3
58603,603000.0,4
58605,610000.0,4
58610,620000.0,4
58684,860000.0,3
58690,895000.0,4
58734,1380000.0,4
58877,460000.0,4
58878,460000.0,3
58899,520000.0,3
58955,627500.0,5
59022,805000.0,4
59046,960000.0,3
59070,1140000.0,2
59081,1282000.0,4
59083,1350000.0,4
59091,1500000.0,5
59322,590000.0,3
59343,640000.0,3
59353,683500.0,3
59380,778000.0,4
59389,830000.0,4
59428,1160000.0,3
59604,450000.0,3
59666,540000.0,3
59686,571000.0,3
59745,662000.0,4
59845,932001.0,3
59858,1050000.0,3
59890,2195000.0,3
60012,595000.0,3
60021,685000.0,4
60030,1020000.0,4
60175,379000.0,2
60226,467500.0,3
60230,470000.0,3
60251,502000.0,3
60273,547000.0,4
60310,605000.0,4
60362,683500.0,4
60410,785000.0,4
60447,900000.0,5
60470,1025000.0,5
60698,466000.0,3
60734,542000.0,3
60777,612000.0,3
60779,615000.0,3
60828,730000.0,4
60843,815000.0,4
61087,483000.0,3
61093,496250.0,3
61122,555000.0,3
61124,560000.0,3
61225,760000.0,4
61227,765000.0,4
61261,869500.0,5
61525,545000.0,2
61588,670000.0,4
61610,745000.0,4
61627,790000.0,4
61637,830000.0,4
61646,890000.0,4
61666,1100000.0,2
61970,555000.0,3
62031,630000.0,4
62086,747500.0,3
62094,760000.0,4
62147,872000.0,4
62152,885000.0,3
62156,890000.0,4
62159,920000.0,3
62305,665000.0,3
62309,680000.0,4
62312,690000.0,4
62356,1375000.0,4
62768,745000.0,4
62796,810000.0,3
62800,825000.0,4
62827,905000.0,3
62834,970000.0,4
63036,480000.0,3
63049,510000.0,3
63061,528800.0,3
63071,550000.0,3
63091,585000.0,3
63177,780000.0,4
63180,790000.0,4
63199,870000.0,4
63258,1975000.0,4
63359,363500.0,2
63363,370000.0,2
63425,485000.0,3
63446,510000.0,3
63461,530000.0,3
63493,582500.0,3
63504,605000.0,3
63555,712000.0,3
63632,965000.0,4
63828,432000.0,2
63835,450000.0,3
63846,470000.0,3
63869,510000.0,3
63892,555000.0,3
63918,590000.0,4
63929,598000.0,3
63946,637000.0,3
63973,687000.0,3
63993,720000.0,4
64020,800000.0,4
64058,1010000.0,4
64067,1100000.0,4
64279,437000.0,3
64342,515000.0,3
64348,520000.0,3
64400,595500.0,4
64410,610000.0,3
64423,640000.0,4
64424,640000.0,3
64467,705000.0,4
64570,1015000.0,3
65105,470000.0,3
65136,507000.0,3
65170,550000.0,3
65184,561000.0,4
65201,594000.0,3
65212,601000.0,3
65249,655000.0,4
65278,732000.0,4
65280,735000.0,3
65301,785000.0,5
65330,870000.0,4
65367,1118000.0,3
65368,1120000.0,5
65545,405000.0,2
65618,510000.0,3
65642,535000.0,3
65757,735000.0,4
65790,850000.0,4
65843,1490000.0,5
66038,445000.0,2
66115,580000.0,3
66220,715000.0,4
66223,720000.0,4
66230,750000.0,4
66243,785000.0,5
66423,200000.0,1
66440,278000.0,2
66572,470000.0,3
66623,530000.0,3
66684,590000.0,3
66702,612500.0,3
66714,628500.0,4
66768,705000.0,3
66771,712000.0,4
66797,755000.0,3
66909,1340000.0,3
66924,1750000.0,4
66934,2130000.0,4
67017,550500.0,3
67019,556000.0,3
67052,670000.0,4
67062,700000.0,4
67078,760000.0,4
67091,822000.0,3
67111,965000.0,3
67131,1340000.0,4
67134,1395000.0,4
67415,522500.0,3
67430,542000.0,3
67438,560000.0,3
67459,580000.0,3
67468,595000.0,3
67470,596000.0,3
67516,645000.0,4
67526,655000.0,3
67581,790000.0,4
67591,845000.0,4
67592,847500.0,4
67626,960000.0,4
67842,430000.0,3
67889,512000.0,3
67944,590000.0,3
67961,615000.0,4
68016,710000.0,4
68021,720000.0,4
68029,745000.0,5
68047,800000.0,4
68071,880000.0,4
68106,1140000.0,4
68320,513000.0,4
68362,575000.0,3
68365,580000.0,3
68397,620000.0,4
68500,845250.0,3
68522,955000.0,4
68532,1025000.0,4
68708,405000.0,2
68780,510000.0,3
68806,547500.0,3
68808,555000.0,3
68819,566000.0,3
68874,660000.0,4
68879,670000.0,3
68883,680000.0,3
68887,685000.0,4
68890,691000.0,3
68902,717500.0,4
68930,790000.0,4
68948,845000.0,3
68952,850000.0,4
68968,920000.0,3
68976,995000.0,5
69229,450000.0,3
69278,510000.0,3
69282,515000.0,3
69288,525000.0,3
69339,600000.0,4
69340,600000.0,4
69343,600000.0,3
69365,630000.0,4
69382,650000.0,4
69430,725000.0,5
69444,755000.0,4
69448,765000.0,3
69494,920000.0,5
69500,940000.0,4
69597,2220000.0,3
69682,460000.0,2
